Parcel_id,Island,Suburb,Height,Area
7748,Pastel,Strawberry Sands,10,475
7749,Pastel,Strawberry Sands,10,240
7750,Pastel,Strawberry Sands,10,186
7751,Pastel,Forget-Me-Not Forests,10,150
7752,Pastel,Strawberry Sands,10,80
7753,Pastel,Strawberry Sands,10,55
7754,Pastel,Strawberry Sands,8,435
7755,Pastel,Forget-Me-Not Forests,8,312
7756,Pastel,Forget-Me-Not Forests,8,304
7757,Pastel,Strawberry Sands,8,252
7758,Pastel,Forget-Me-Not Forests,8,253
7759,Pastel,Strawberry Sands,8,247
7760,Pastel,Daffodil Dunes,8,247
7761,Pastel,Strawberry Sands,8,216
7762,Pastel,Forget-Me-Not Forests,8,204
7763,Pastel,Forget-Me-Not Forests,8,208
7764,Pastel,Strawberry Sands,8,195
7765,Pastel,Daffodil Dunes,8,190
7766,Pastel,Strawberry Sands,8,187
7767,Pastel,Forget-Me-Not Forests,8,182
7768,Pastel,Daffodil Dunes,8,180
7769,Pastel,Strawberry Sands,8,176
7770,Pastel,Strawberry Sands,8,176
7771,Pastel,Daffodil Dunes,8,168
7772,Pastel,Daffodil Dunes,8,168
7773,Pastel,Strawberry Sands,8,170
7774,Pastel,Strawberry Sands,8,171
7775,Pastel,Daffodil Dunes,8,171
7776,Pastel,Daffodil Dunes,8,160
7777,Pastel,Strawberry Sands,8,160
7778,Pastel,Daffodil Dunes,8,156
7779,Pastel,Forget-Me-Not Forests,8,152
7780,Pastel,Strawberry Sands,8,144
7781,Pastel,Strawberry Sands,8,144
7782,Pastel,Daffodil Dunes,8,143
7783,Pastel,Strawberry Sands,8,143
7784,Pastel,Forget-Me-Not Forests,8,135
7785,Pastel,Daffodil Dunes,8,135
7786,Pastel,Strawberry Sands,8,132
7787,Pastel,Daffodil Dunes,8,132
7788,Pastel,Daffodil Dunes,8,133
7789,Pastel,Forget-Me-Not Forests,8,126
7790,Pastel,Strawberry Sands,8,128
7791,Pastel,Daffodil Dunes,8,120
7792,Pastel,Strawberry Sands,8,120
7793,Pastel,Daffodil Dunes,8,120
7794,Pastel,Forget-Me-Not Forests,8,117
7795,Pastel,Forget-Me-Not Forests,8,108
7796,Pastel,Daffodil Dunes,8,108
7797,Pastel,Daffodil Dunes,8,108
7798,Pastel,Strawberry Sands,8,104
7799,Pastel,Daffodil Dunes,8,104
7800,Pastel,Daffodil Dunes,8,104
7801,Pastel,Forget-Me-Not Forests,8,105
7802,Pastel,Forget-Me-Not Forests,8,99
7803,Pastel,Daffodil Dunes,8,98
7804,Pastel,Forget-Me-Not Forests,8,90
7805,Pastel,Forget-Me-Not Forests,8,91
7806,Pastel,Daffodil Dunes,8,91
7807,Pastel,Daffodil Dunes,8,91
7808,Pastel,Forget-Me-Not Forests,8,88
7809,Pastel,Strawberry Sands,8,84
7810,Pastel,Forget-Me-Not Forests,8,84
7811,Pastel,Forget-Me-Not Forests,8,80
7812,Pastel,Daffodil Dunes,8,80
7813,Pastel,Daffodil Dunes,8,80
7814,Pastel,Strawberry Sands,8,80
7815,Pastel,Forget-Me-Not Forests,8,85
7816,Pastel,Strawberry Sands,8,78
7817,Pastel,Forget-Me-Not Forests,8,72
7818,Pastel,Forget-Me-Not Forests,8,80
7819,Pastel,Forget-Me-Not Forests,8,63
7820,Pastel,Forget-Me-Not Forests,8,65
7821,Pastel,Daffodil Dunes,8,65
7822,Pastel,Forget-Me-Not Forests,8,56
7823,Pastel,Forget-Me-Not Forests,8,56
7824,Pastel,Daffodil Dunes,6,132
7825,Pastel,Daffodil Dunes,6,108
7826,Pastel,Daffodil Dunes,8,91
7827,Pastel,Daffodil Dunes,8,171
7828,Pastel,Strawberry Sands,10,160
